Setor;Indicador;Meta;Und.;Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez
Controle de Sinistro;ACIDENTE POR (MILHAO) DE KM RODADO - Mensal;0;%;3.5;4.43;4.17;5.51;3.58;4.09;4.98;;;;;
Controle de Sinistro;Acidentes com culpa - Mensal;0;Numeral;11;12;8;17;21;13;16;;;;;
Controle de Sinistro;Número de acidentes com lesões - veículos proprios - Mensal;0;Numeral;0;0;0;0;0;0;0;;;;;
Controle de Sinistro;Número de acidentes com lesões envolvendo Terceiros - Mensal;0;Numeral;0;0;1;0;2;0;1;;;;;
Controle de Sinistro;Numero de mortes - proprios - Mensal;0;Numeral;0;0;0;1;0;0;0;;;;;
Controle de Sinistro;Número de mortes -Terceiros - Mensal;0;Numeral;0;0;0;1;2;0;1;;;;;
Controle de Sinistro;Total de acidentes - Mensal;40;Numeral;26;33;38;49;32;38;43;;;;;
Controle de Veículos / Documentação;VEÍCULOS ATIVOS (semirreboques);2500;Numeral;2015;1972;1968;1959;1947;1947;1932;;;;;
Controle de Veículos / Documentação;VEÍCULOS ATIVOS (cavalo mecânico);1300;Numeral;1234;1208;1223;1231;1221;1204;1190;;;;;
Controle de Veículos / Documentação;Cronotacógrafo - Mensal;100;%;62.25;64.29;64.37;97.44;98.61;98.51;98.43;;;;;
Controle de Veículos / Documentação;Veículos emplacados - Mensal;0;Numeral;68;36;36;31;31;23;11;;;;;
Controle de Veículos / Documentação;Veículos Vendidos;0;Numeral;27;24;35;35;23;45;49;;;;;
Controle de Veículos / Documentação;% CRLV LIBERADOS - Mensal;100;%;5.13;79.45;91.9;96.51;97.3;99.18;99.59;;;;;
Controle de Penalidade/Autuações;Redução quantidade de multas por frota - Mensal;0.35;%;0.59;0.46;0.5;0.58;0.35;0.55;0.42;;;;;
Controle de Penalidade;% de multas pagas com 20% de desconto - Mensal;20;%;20;18;15;23;16;10.67;12.08;;;;;
Controle de Penalidade;% de multas pagas com 40% de desconto - Mensal;10;%;42;39;56;38;55;48.71;47.35;;;;;
Controle de Penalidade;Multas Cobradas Motoristas - Mensal;50000;Numeral;159;161;188;99;185;245;297;;;;;
Controle de Penalidade;Multas Mapeadas Mês - Mensal;0;Numeral;595;528;651;924;407;644;478;;;;;
Controle de Penalidade;Multas Pagas Mês - Mensal;0;Numeral;843;707;602;556;854;1199;1134;;;;;
Controle de de Autuações;Defesas administrativas;50000;Numeral;3;16;6;2;29;35;13;;;;;
Controle de de Autuações;Autuações tratadas;50000;Numeral;267;100;229;278;262;278;246;;;;;
Controle de de Autuações;Responsabilidade da empresa;50000;Numeral;96;28;70;30;30;37;13;;;;;
Controle de de Autuações;Já identificado pelo agente;50000;Numeral;17;4;5;14;6;12;16;;;;;
Controle de de Autuações;Identificar (solicitou ser identificado, mas não possui termo);50000;Numeral;27;36;46;40;42;39;32;;;;;
Controle de de Autuações;PRF;50000;Numeral;42;12;47;65;84;93;72;;;;;
Controle de de Autuações;Identificado;50000;Numeral;27;36;46;40;42;43;49;;;;;
Controle de de Autuações;Agregados Identificados;50000;Numeral;1;0;1;2;8;3;6;;;;;
Controle de de Autuações;Agregados não Identificado;50000;Numeral;0;0;15;7;14;2;8;;;;;
Controle de de Autuações;Não Identificado frota;50000;Numeral;33;3;13;47;22;32;28;;;;;
Controle de de Autuações;Não Identificado 24h;50000;Numeral;12;1;11;19;14;17;22;;;;;
Controle de de Autuações;Defesas ANTT;50000;Numeral;0;0;0;0;28;29;0;;;;;
Controle de SCORE do motorista;SCORE - Mensal;600;Numeral;249;318;405;460;497;589;;;;;;
Controle de Velocidade;Numero de motoristas com ocorrencias acima da velocidade permitida - Mensal;0;Numeral;542;580;673;640;584;597;540;;;;;
Controle de Autuações;Piso Mínimo de Frete;0;Numeral;50;20;44;111;13;0;54;;;;;
Controle de Autuações;Vale Pedágio;0;Numeral;0;2;0;5;0;0;3;;;;;
